"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar producto al carrito de compra","Agregar producto al carrito de compra","SUCCESS","2022-08-14T19:31:31.072-05:00[America/Bogota]","0.0","63.93"
"Longin usuario exitoso","login de usuario exitoso","SUCCESS","2022-08-14T21:25:28.591-05:00[America/Bogota]","0.0","27.55"
